id_municipio,qtd_d2atrasada,qtd_d2atrasada_por_qtdd1
4117503,83980,0.12965879265091865
3131802,35666,0.12411220416955204
4306767,122636,0.20167873752623028
1508357,29440,0.27297171998145575
3544509,15744,0.051877870845717371
3111200,224978,0.15423882893172652
2614501,99918,0.1442015860760133
4108809,58140,0.12243092991913747
3121803,16830,0.083487940630797772
3162104,167790,0.15235713624154859
3522406,444357,0.070717362108090584
2309300,15548,0.19893546240851631
2514305,1463,0.048559479553903342
3160959,14926,0.096144184069154759
4122172,3380,0.053094564875903236
4308433,1260,0.031049778215869888
1501808,152440,0.27025972874745147
2613602,43680,0.1206963249516441
2201903,15011,0.11285023718772788
5007406,9960,0.14081719213912061
1100080,4059,0.15739879013494648
2908606,73059,0.20002683123155351
2304004,23907,0.55491852745926373
5106422,34176,0.28063260580381338
1100940,5733,0.19402985074626866
2603306,15750,0.15570934256055363
5105309,1932,0.21254125412541255
3161700,23732,0.12816746235769372
1717008,2061,0.24439701173959444
2513984,1456,0.066581306017925737
2703205,7090,0.080367263659034238
2802601,2424,0.13448735019973368
1502707,34270,0.12507618807779761
2915700,41709,0.40067437101933773
2105948,5130,0.094449047224523616
5006358,4975,0.11469211794268852
2300408,7327,0.1514625322997416
3506300,51906,0.059779015959958451
4320321,2060,0.046522131887985547
5221007,2101,0.058090024330900242
4217550,360,0.011235955056179775
3145901,169144,0.159081461250087
4108320,6640,0.05685905120739853
2414159,8568,0.31502316346790205
1507201,19130,0.084578654169245732
2700300,158030,0.19294398605206545
3301603,79660,0.32840681879083955
3108305,38420,0.078017122341894507
5209903,17897,0.1786145570315073
3518404,881899,0.11069383486479434
2615706,17556,0.10687803630784966
3124401,33626,0.17641812343917232
4310405,5160,0.049615384615384617
5214804,506,0.025944726452340666
3522000,20172,0.078846153846153844
2926608,88221,0.099211110798729227
2102002,63216,0.40601156069364164
1302306,18912,0.44715562491133493
5205513,27203,0.15765650898890732
3109808,13736,0.23059360730593606
5205059,4059,0.13707280832095098
3170800,135864,0.14899884410306127
3519402,110044,0.12955879323031641
3544400,12300,0.061475409836065573
3519055,119884,0.10825620140688634
5108006,9240,0.16792061934358304
3160009,8840,0.0804953560371517
5220058,968,0.055172413793103448
2205409,3570,0.056845323397344036
3127057,32436,0.30094637223974763
3108701,11016,0.088937688718089492
3112802,92038,0.37765066964285715
4105607,17640,0.093382742191635781
3501202,11972,0.043444969825849972
4309159,9760,0.18863548511789718
1708205,9876,0.25829737151824245
4127106,124120,0.10225568865235372
1600535,3216,0.29138352813264473
5101852,4416,0.16443252904378911
3145372,28594,0.21726642757279194
2202653,5754,0.24483022721470513
3132602,49810,0.47319121447028423
3505302,88478,0.036737832601577335
3153400,74936,0.15299180896848535
4322251,6800,0.085642317380352648
2503605,4081,0.11246141975308642
5104500,1194,0.10300207039337474
2900603,7623,0.11217552533992584
2208601,654,0.041272245361605453
5200902,3751,0.1247713135748262
5215231,142714,0.18215769965180276
4205431,1068,0.040326234707748071
3102050,18598,0.12369639246568054
2801702,17396,0.39458343729444056
4304903,8920,0.058315899581589961
2601052,63140,0.33435358659620212
2205607,1482,0.058879618593563769
3139607,184808,0.28988944521828608
2911857,17703,0.068408666720766051
4305132,2440,0.03844941695556256
4127908,10480,0.078761460995039834
4302659,3960,0.043015424723006734
5106240,10296,0.19371954317108506
2611606,3611141,0.18945982396611494
1200450,7050,0.23193841294907225
2608800,51934,0.11494171467524218
2929008,23310,0.12094138156461103
1400456,4218,0.29307948860478045
3522703,269944,0.098562874251497012
2611200,14420,0.12179259784793663
2403202,2826,0.085774122074847484
2205581,3420,0.14743921365752716
3200508,3661,0.089340621797061842
5108055,9198,0.19906505648617062
4112702,22180,0.11475579470198675
