UF;Município;DSVACINAmn;Distribuída aos Municípios
AL;Água Branca;FIOCRUZ/ASTRAZENECA;15170
AL;Água Branca;JANSSEN (JOHNSON & JOHNSON);1155
AL;Água Branca;PFIZER/BIONTECH;6708
AL;Anadia;BUTANTAN/SINOVAC;11441
AL;Anadia;FIOCRUZ/ASTRAZENECA;9980
AL;Anadia;JANSSEN (JOHNSON & JOHNSON);250
AL;Anadia;PFIZER/BIONTECH;3714
AL;Arapiraca;BUTANTAN/SINOVAC;51266
AL;Arapiraca;FIOCRUZ/ASTRAZENECA;109335
AL;Arapiraca;JANSSEN (JOHNSON & JOHNSON);6195
AL;Arapiraca;PFIZER/BIONTECH;181632
AL;Atalaia;BUTANTAN/SINOVAC;10500
AL;Atalaia;FIOCRUZ/ASTRAZENECA;17140
AL;Atalaia;JANSSEN (JOHNSON & JOHNSON);740
AL;Atalaia;PFIZER/BIONTECH;26736
AL;Barra De Santo Antônio;BUTANTAN/SINOVAC;6732
AL;Barra De Santo Antônio;FIOCRUZ/ASTRAZENECA;7845
AL;Barra De Santo Antônio;JANSSEN (JOHNSON & JOHNSON);1555
AL;Barra De Santo Antônio;PFIZER/BIONTECH;3384
AL;Barra De São Miguel;BUTANTAN/SINOVAC;5846
AL;Barra De São Miguel;FIOCRUZ/ASTRAZENECA;5420
AL;Barra De São Miguel;JANSSEN (JOHNSON & JOHNSON);115
AL;Barra De São Miguel;PFIZER/BIONTECH;2154
AL;Batalha;BUTANTAN/SINOVAC;6312
AL;Batalha;FIOCRUZ/ASTRAZENECA;9460
AL;Batalha;JANSSEN (JOHNSON & JOHNSON);250
AL;Batalha;PFIZER/BIONTECH;8916
AL;Belém;BUTANTAN/SINOVAC;1696
AL;Belém;FIOCRUZ/ASTRAZENECA;2480
AL;Belém;JANSSEN (JOHNSON & JOHNSON);225
AL;Belém;PFIZER/BIONTECH;2928
AL;Belo Monte;BUTANTAN/SINOVAC;4430
AL;Belo Monte;FIOCRUZ/ASTRAZENECA;4080
AL;Belo Monte;JANSSEN (JOHNSON & JOHNSON);95
AL;Belo Monte;PFIZER/BIONTECH;2352
AL;Boca Da Mata;BUTANTAN/SINOVAC;8648
AL;Boca Da Mata;FIOCRUZ/ASTRAZENECA;13460
AL;Boca Da Mata;JANSSEN (JOHNSON & JOHNSON);380
AL;Boca Da Mata;PFIZER/BIONTECH;13302
AL;Branquinha;BUTANTAN/SINOVAC;3576
AL;Branquinha;FIOCRUZ/ASTRAZENECA;4240
AL;Branquinha;JANSSEN (JOHNSON & JOHNSON);140
AL;Branquinha;PFIZER/BIONTECH;6282
AL;Cacimbinhas;BUTANTAN/SINOVAC;3088
AL;Cacimbinhas;FIOCRUZ/ASTRAZENECA;6005
AL;Cacimbinhas;JANSSEN (JOHNSON & JOHNSON);780
AL;Cacimbinhas;PFIZER/BIONTECH;5952
AL;Cajueiro;BUTANTAN/SINOVAC;12226
AL;Cajueiro;FIOCRUZ/ASTRAZENECA;11340
AL;Cajueiro;JANSSEN (JOHNSON & JOHNSON);305
AL;Cajueiro;PFIZER/BIONTECH;4332
AL;Campestre;BUTANTAN/SINOVAC;2306
AL;Campestre;FIOCRUZ/ASTRAZENECA;2810
AL;Campestre;JANSSEN (JOHNSON & JOHNSON);60
AL;Campestre;PFIZER/BIONTECH;3288
AL;Campo Alegre;BUTANTAN/SINOVAC;10652
AL;Campo Alegre;FIOCRUZ/ASTRAZENECA;24640
AL;Campo Alegre;JANSSEN (JOHNSON & JOHNSON);840
AL;Campo Alegre;PFIZER/BIONTECH;27066
AL;Campo Grande;BUTANTAN/SINOVAC;3910
AL;Campo Grande;FIOCRUZ/ASTRAZENECA;6710
AL;Campo Grande;JANSSEN (JOHNSON & JOHNSON);90
AL;Campo Grande;PFIZER/BIONTECH;5148
AL;Canapi;BUTANTAN/SINOVAC;10068
AL;Canapi;FIOCRUZ/ASTRAZENECA;11260
AL;Canapi;JANSSEN (JOHNSON & JOHNSON);360
AL;Canapi;PFIZER/BIONTECH;2820
AL;Capela;BUTANTAN/SINOVAC;4294
AL;Capela;FIOCRUZ/ASTRAZENECA;6765
AL;Capela;JANSSEN (JOHNSON & JOHNSON);400
AL;Capela;PFIZER/BIONTECH;11238
AL;Carneiros;BUTANTAN/SINOVAC;2356
AL;Carneiros;FIOCRUZ/ASTRAZENECA;4760
AL;Carneiros;JANSSEN (JOHNSON & JOHNSON);110
AL;Carneiros;PFIZER/BIONTECH;3930
AL;Chã Preta;BUTANTAN/SINOVAC;2148
AL;Chã Preta;FIOCRUZ/ASTRAZENECA;2745
AL;Chã Preta;JANSSEN (JOHNSON & JOHNSON);195
AL;Chã Preta;PFIZER/BIONTECH;4842
AL;Coité Do Nóia;BUTANTAN/SINOVAC;3606
AL;Coité Do Nóia;FIOCRUZ/ASTRAZENECA;4980
AL;Coité Do Nóia;JANSSEN (JOHNSON & JOHNSON);525
AL;Coité Do Nóia;PFIZER/BIONTECH;7722
AL;Colônia Leopoldina;BUTANTAN/SINOVAC;10836
AL;Colônia Leopoldina;FIOCRUZ/ASTRAZENECA;10465
AL;Colônia Leopoldina;JANSSEN (JOHNSON & JOHNSON);305
AL;Colônia Leopoldina;PFIZER/BIONTECH;3444
AL;Coqueiro Seco;BUTANTAN/SINOVAC;1412
AL;Coqueiro Seco;FIOCRUZ/ASTRAZENECA;2890
AL;Coqueiro Seco;JANSSEN (JOHNSON & JOHNSON);75
AL;Coqueiro Seco;PFIZER/BIONTECH;4860
AL;Coruripe;BUTANTAN/SINOVAC;11228
AL;Coruripe;FIOCRUZ/ASTRAZENECA;18090
AL;Coruripe;JANSSEN (JOHNSON & JOHNSON);850
AL;Coruripe;PFIZER/BIONTECH;50736
AL;Craíbas;BUTANTAN/SINOVAC;16776
AL;Craíbas;FIOCRUZ/ASTRAZENECA;15050
AL;Craíbas;JANSSEN (JOHNSON & JOHNSON);325
AL;Craíbas;PFIZER/BIONTECH;1098
AL;Delmiro Gouveia;BUTANTAN/SINOVAC;11502
AL;Delmiro Gouveia;FIOCRUZ/ASTRAZENECA;30640
AL;Delmiro Gouveia;JANSSEN (JOHNSON & JOHNSON);3740
AL;Delmiro Gouveia;PFIZER/BIONTECH;33870
AL;Dois Riachos;BUTANTAN/SINOVAC;3800
AL;Dois Riachos;FIOCRUZ/ASTRAZENECA;4395
AL;Dois Riachos;JANSSEN (JOHNSON & JOHNSON);140
AL;Dois Riachos;PFIZER/BIONTECH;5940
AL;Estrela De Alagoas;BUTANTAN/SINOVAC;10084
AL;Estrela De Alagoas;FIOCRUZ/ASTRAZENECA;11690
AL;Estrela De Alagoas;JANSSEN (JOHNSON & JOHNSON);995
AL;Estrela De Alagoas;PFIZER/BIONTECH;3114
AL;Feira Grande;BUTANTAN/SINOVAC;6318
AL;Feira Grande;FIOCRUZ/ASTRAZENECA;9145
AL;Feira Grande;JANSSEN (JOHNSON & JOHNSON);330
AL;Feira Grande;PFIZER/BIONTECH;15030
AL;Feliz Deserto;BUTANTAN/SINOVAC;1382
AL;Feliz Deserto;FIOCRUZ/ASTRAZENECA;2100
AL;Feliz Deserto;JANSSEN (JOHNSON & JOHNSON);425
AL;Feliz Deserto;PFIZER/BIONTECH;2916
AL;Flexeiras;BUTANTAN/SINOVAC;4008
AL;Flexeiras;FIOCRUZ/ASTRAZENECA;5500
AL;Flexeiras;JANSSEN (JOHNSON & JOHNSON);95
AL;Flexeiras;PFIZER/BIONTECH;5322
AL;Girau Do Ponciano;BUTANTAN/SINOVAC;25184
AL;Girau Do Ponciano;FIOCRUZ/ASTRAZENECA;24295
AL;Girau Do Ponciano;JANSSEN (JOHNSON & JOHNSON);560
AL;Girau Do Ponciano;PFIZER/BIONTECH;9192
AL;Ibateguara;BUTANTAN/SINOVAC;5156
AL;Ibateguara;FIOCRUZ/ASTRAZENECA;7140
AL;Ibateguara;JANSSEN (JOHNSON & JOHNSON);120
AL;Ibateguara;PFIZER/BIONTECH;5874
AL;Igaci;BUTANTAN/SINOVAC;9438
AL;Igaci;FIOCRUZ/ASTRAZENECA;12070
AL;Igaci;JANSSEN (JOHNSON & JOHNSON);2105
AL;Igaci;PFIZER/BIONTECH;14238
AL;Igreja Nova;BUTANTAN/SINOVAC;15120
AL;Igreja Nova;FIOCRUZ/ASTRAZENECA;17440
AL;Igreja Nova;JANSSEN (JOHNSON & JOHNSON);350
AL;Igreja Nova;PFIZER/BIONTECH;5970
AL;Inhapi;BUTANTAN/SINOVAC;10346
AL;Inhapi;FIOCRUZ/ASTRAZENECA;9090
AL;Inhapi;JANSSEN (JOHNSON & JOHNSON);890
AL;Inhapi;PFIZER/BIONTECH;2520
AL;Jacaré Dos Homens;BUTANTAN/SINOVAC;1190
AL;Jacaré Dos Homens;FIOCRUZ/ASTRAZENECA;3500
AL;Jacaré Dos Homens;JANSSEN (JOHNSON & JOHNSON);65
AL;Jacaré Dos Homens;PFIZER/BIONTECH;3882
AL;Jacuípe;BUTANTAN/SINOVAC;4128
AL;Jacuípe;FIOCRUZ/ASTRAZENECA;3920
AL;Jacuípe;JANSSEN (JOHNSON & JOHNSON);85
AL;Jacuípe;PFIZER/BIONTECH;1680
AL;Japaratinga;BUTANTAN/SINOVAC;4502
AL;Japaratinga;FIOCRUZ/ASTRAZENECA;4780
AL;Japaratinga;JANSSEN (JOHNSON & JOHNSON);100
AL;Japaratinga;PFIZER/BIONTECH;2022
AL;Jaramataia;BUTANTAN/SINOVAC;3228
AL;Jaramataia;FIOCRUZ/ASTRAZENECA;3580
AL;Jaramataia;JANSSEN (JOHNSON & JOHNSON);75
AL;Jaramataia;PFIZER/BIONTECH;1236
AL;Jequiá Da Praia;BUTANTAN/SINOVAC;2446
AL;Jequiá Da Praia;FIOCRUZ/ASTRAZENECA;4925
