UF;Município;DSVACINAmn;Distribuída aos Municípios
MG;Cabeceira Grande;PFIZER/BIONTECH;4542
MG;Cabo Verde;BUTANTAN/SINOVAC;4364
MG;Cabo Verde;FIOCRUZ/ASTRAZENECA;8070
MG;Cabo Verde;JANSSEN (JOHNSON & JOHNSON);370
MG;Cabo Verde;PFIZER/BIONTECH;9078
MG;Cachoeira Da Prata;BUTANTAN/SINOVAC;1644
MG;Cachoeira Da Prata;FIOCRUZ/ASTRAZENECA;2405
MG;Cachoeira Da Prata;JANSSEN (JOHNSON & JOHNSON);115
MG;Cachoeira Da Prata;PFIZER/BIONTECH;3258
MG;Cachoeira De Minas;BUTANTAN/SINOVAC;4904
MG;Cachoeira De Minas;FIOCRUZ/ASTRAZENECA;6605
MG;Cachoeira De Minas;JANSSEN (JOHNSON & JOHNSON);340
MG;Cachoeira De Minas;PFIZER/BIONTECH;9264
MG;Cachoeira De Pajeú;BUTANTAN/SINOVAC;3772
MG;Cachoeira De Pajeú;FIOCRUZ/ASTRAZENECA;4320
MG;Cachoeira De Pajeú;JANSSEN (JOHNSON & JOHNSON);260
MG;Cachoeira De Pajeú;PFIZER/BIONTECH;5814
MG;Cachoeira Dourada;BUTANTAN/SINOVAC;908
MG;Cachoeira Dourada;FIOCRUZ/ASTRAZENECA;2255
MG;Cachoeira Dourada;JANSSEN (JOHNSON & JOHNSON);95
MG;Cachoeira Dourada;PFIZER/BIONTECH;1638
MG;Caetanópolis;BUTANTAN/SINOVAC;4992
MG;Caetanópolis;FIOCRUZ/ASTRAZENECA;7130
MG;Caetanópolis;JANSSEN (JOHNSON & JOHNSON);415
MG;Caetanópolis;PFIZER/BIONTECH;8952
MG;Caeté;BUTANTAN/SINOVAC;18118
MG;Caeté;FIOCRUZ/ASTRAZENECA;22055
MG;Caeté;JANSSEN (JOHNSON & JOHNSON);1990
MG;Caeté;PFIZER/BIONTECH;32700
MG;Caiana;BUTANTAN/SINOVAC;2190
MG;Caiana;FIOCRUZ/ASTRAZENECA;3370
MG;Caiana;JANSSEN (JOHNSON & JOHNSON);140
MG;Caiana;PFIZER/BIONTECH;4140
MG;Cajuri;BUTANTAN/SINOVAC;2432
MG;Cajuri;FIOCRUZ/ASTRAZENECA;2490
MG;Cajuri;JANSSEN (JOHNSON & JOHNSON);105
MG;Cajuri;PFIZER/BIONTECH;2838
MG;Caldas;BUTANTAN/SINOVAC;5790
MG;Caldas;FIOCRUZ/ASTRAZENECA;9755
MG;Caldas;JANSSEN (JOHNSON & JOHNSON);480
MG;Caldas;PFIZER/BIONTECH;9408
MG;Camacho;BUTANTAN/SINOVAC;1720
MG;Camacho;FIOCRUZ/ASTRAZENECA;1570
MG;Camacho;JANSSEN (JOHNSON & JOHNSON);75
MG;Camacho;PFIZER/BIONTECH;3066
MG;Camanducaia;BUTANTAN/SINOVAC;10126
MG;Camanducaia;FIOCRUZ/ASTRAZENECA;13215
MG;Camanducaia;JANSSEN (JOHNSON & JOHNSON);1100
MG;Camanducaia;PFIZER/BIONTECH;15792
MG;Cambuí;BUTANTAN/SINOVAC;13378
MG;Cambuí;FIOCRUZ/ASTRAZENECA;18080
MG;Cambuí;JANSSEN (JOHNSON & JOHNSON);475
MG;Cambuí;PFIZER/BIONTECH;18990
MG;Cambuquira;BUTANTAN/SINOVAC;5292
MG;Cambuquira;FIOCRUZ/ASTRAZENECA;9865
MG;Cambuquira;JANSSEN (JOHNSON & JOHNSON);320
MG;Cambuquira;PFIZER/BIONTECH;9462
MG;Campanário;BUTANTAN/SINOVAC;1524
MG;Campanário;FIOCRUZ/ASTRAZENECA;2665
MG;Campanário;JANSSEN (JOHNSON & JOHNSON);140
MG;Campanário;PFIZER/BIONTECH;2340
MG;Campanha;BUTANTAN/SINOVAC;7028
MG;Campanha;FIOCRUZ/ASTRAZENECA;10400
MG;Campanha;JANSSEN (JOHNSON & JOHNSON);395
MG;Campanha;PFIZER/BIONTECH;11778
MG;Campestre;BUTANTAN/SINOVAC;11431
MG;Campestre;FIOCRUZ/ASTRAZENECA;12445
MG;Campestre;JANSSEN (JOHNSON & JOHNSON);805
MG;Campestre;PFIZER/BIONTECH;14850
MG;Campina Verde;BUTANTAN/SINOVAC;8226
MG;Campina Verde;FIOCRUZ/ASTRAZENECA;13995
MG;Campina Verde;JANSSEN (JOHNSON & JOHNSON);540
MG;Campina Verde;PFIZER/BIONTECH;11994
MG;Campo Azul;BUTANTAN/SINOVAC;1720
MG;Campo Azul;FIOCRUZ/ASTRAZENECA;2180
MG;Campo Azul;JANSSEN (JOHNSON & JOHNSON);95
MG;Campo Azul;PFIZER/BIONTECH;2838
MG;Campo Belo;BUTANTAN/SINOVAC;25340
MG;Campo Belo;FIOCRUZ/ASTRAZENECA;31300
MG;Campo Belo;JANSSEN (JOHNSON & JOHNSON);1820
MG;Campo Belo;PFIZER/BIONTECH;43290
MG;Campo Do Meio;BUTANTAN/SINOVAC;4096
MG;Campo Do Meio;FIOCRUZ/ASTRAZENECA;9865
MG;Campo Do Meio;JANSSEN (JOHNSON & JOHNSON);345
MG;Campo Do Meio;PFIZER/BIONTECH;7434
MG;Campo Florido;BUTANTAN/SINOVAC;3428
MG;Campo Florido;FIOCRUZ/ASTRAZENECA;3850
MG;Campo Florido;JANSSEN (JOHNSON & JOHNSON);220
MG;Campo Florido;PFIZER/BIONTECH;6726
MG;Campos Altos;BUTANTAN/SINOVAC;5192
MG;Campos Altos;FIOCRUZ/ASTRAZENECA;7530
MG;Campos Altos;JANSSEN (JOHNSON & JOHNSON);430
MG;Campos Altos;PFIZER/BIONTECH;9228
MG;Campos Gerais;BUTANTAN/SINOVAC;8440
MG;Campos Gerais;FIOCRUZ/ASTRAZENECA;20570
MG;Campos Gerais;JANSSEN (JOHNSON & JOHNSON);1060
MG;Campos Gerais;PFIZER/BIONTECH;17976
MG;Cana Verde;BUTANTAN/SINOVAC;3104
MG;Cana Verde;FIOCRUZ/ASTRAZENECA;3200
MG;Cana Verde;JANSSEN (JOHNSON & JOHNSON);130
MG;Cana Verde;PFIZER/BIONTECH;4452
MG;Canaã;BUTANTAN/SINOVAC;2526
MG;Canaã;FIOCRUZ/ASTRAZENECA;2985
MG;Canaã;JANSSEN (JOHNSON & JOHNSON);90
MG;Canaã;PFIZER/BIONTECH;3366
MG;Canápolis;BUTANTAN/SINOVAC;4078
MG;Canápolis;FIOCRUZ/ASTRAZENECA;6505
MG;Canápolis;JANSSEN (JOHNSON & JOHNSON);540
MG;Canápolis;PFIZER/BIONTECH;7404
MG;Candeias;BUTANTAN/SINOVAC;6160
MG;Candeias;FIOCRUZ/ASTRAZENECA;10090
MG;Candeias;JANSSEN (JOHNSON & JOHNSON);845
MG;Candeias;PFIZER/BIONTECH;10686
MG;Cantagalo;BUTANTAN/SINOVAC;1748
MG;Cantagalo;FIOCRUZ/ASTRAZENECA;2715
MG;Cantagalo;JANSSEN (JOHNSON & JOHNSON);125
MG;Cantagalo;PFIZER/BIONTECH;2712
MG;Caparaó;BUTANTAN/SINOVAC;2680
MG;Caparaó;FIOCRUZ/ASTRAZENECA;2310
MG;Caparaó;JANSSEN (JOHNSON & JOHNSON);200
MG;Caparaó;PFIZER/BIONTECH;4038
MG;Capela Nova;BUTANTAN/SINOVAC;2196
MG;Capela Nova;FIOCRUZ/ASTRAZENECA;2870
MG;Capela Nova;JANSSEN (JOHNSON & JOHNSON);165
MG;Capela Nova;PFIZER/BIONTECH;4008
MG;Capelinha;BUTANTAN/SINOVAC;16284
MG;Capelinha;FIOCRUZ/ASTRAZENECA;19760
MG;Capelinha;JANSSEN (JOHNSON & JOHNSON);2130
MG;Capelinha;PFIZER/BIONTECH;28950
MG;Capetinga;BUTANTAN/SINOVAC;3083
MG;Capetinga;FIOCRUZ/ASTRAZENECA;3975
MG;Capetinga;JANSSEN (JOHNSON & JOHNSON);200
MG;Capetinga;PFIZER/BIONTECH;4494
MG;Capim Branco;BUTANTAN/SINOVAC;4714
MG;Capim Branco;FIOCRUZ/ASTRAZENECA;5035
MG;Capim Branco;JANSSEN (JOHNSON & JOHNSON);165
MG;Capim Branco;PFIZER/BIONTECH;7242
MG;Capinópolis;BUTANTAN/SINOVAC;6756
MG;Capinópolis;FIOCRUZ/ASTRAZENECA;9230
MG;Capinópolis;JANSSEN (JOHNSON & JOHNSON);440
MG;Capinópolis;PFIZER/BIONTECH;11118
MG;Capitão Andrade;BUTANTAN/SINOVAC;1762
MG;Capitão Andrade;FIOCRUZ/ASTRAZENECA;3575
MG;Capitão Andrade;JANSSEN (JOHNSON & JOHNSON);185
MG;Capitão Andrade;PFIZER/BIONTECH;2610
MG;Capitão Enéas;BUTANTAN/SINOVAC;5797
MG;Capitão Enéas;FIOCRUZ/ASTRAZENECA;6910
MG;Capitão Enéas;JANSSEN (JOHNSON & JOHNSON);470
MG;Capitão Enéas;PFIZER/BIONTECH;9474
MG;Capitólio;BUTANTAN/SINOVAC;5283
MG;Capitólio;FIOCRUZ/ASTRAZENECA;6090
MG;Capitólio;JANSSEN (JOHNSON & JOHNSON);370
MG;Capitólio;PFIZER/BIONTECH;6900
MG;Caputira;BUTANTAN/SINOVAC;4056
MG;Caputira;FIOCRUZ/ASTRAZENECA;4790
MG;Caputira;JANSSEN (JOHNSON & JOHNSON);185
MG;Caputira;PFIZER/BIONTECH;6090
MG;Caraí;BUTANTAN/SINOVAC;7894
MG;Caraí;FIOCRUZ/ASTRAZENECA;12200
MG;Caraí;JANSSEN (JOHNSON & JOHNSON);435
MG;Caraí;PFIZER/BIONTECH;14340
MG;Caranaíba;BUTANTAN/SINOVAC;1354
MG;Caranaíba;FIOCRUZ/ASTRAZENECA;2410
MG;Caranaíba;JANSSEN (JOHNSON & JOHNSON);120
MG;Caranaíba;PFIZER/BIONTECH;2544
MG;Carandaí;BUTANTAN/SINOVAC;10705
MG;Carandaí;FIOCRUZ/ASTRAZENECA;14410
MG;Carandaí;JANSSEN (JOHNSON & JOHNSON);715
MG;Carandaí;PFIZER/BIONTECH;17310
MG;Carangola;BUTANTAN/SINOVAC;16864
MG;Carangola;FIOCRUZ/ASTRAZENECA;21460
MG;Carangola;JANSSEN (JOHNSON & JOHNSON);1065
MG;Carangola;PFIZER/BIONTECH;23622
MG;Caratinga;BUTANTAN/SINOVAC;32586
MG;Caratinga;FIOCRUZ/ASTRAZENECA;52985
MG;Caratinga;JANSSEN (JOHNSON & JOHNSON);2895
MG;Caratinga;PFIZER/BIONTECH;57996
MG;Carbonita;BUTANTAN/SINOVAC;3664
MG;Carbonita;FIOCRUZ/ASTRAZENECA;5250
MG;Carbonita;JANSSEN (JOHNSON & JOHNSON);240
MG;Carbonita;PFIZER/BIONTECH;7242
MG;Careaçu;BUTANTAN/SINOVAC;3216
MG;Careaçu;FIOCRUZ/ASTRAZENECA;4020
MG;Careaçu;JANSSEN (JOHNSON & JOHNSON);185
MG;Careaçu;PFIZER/BIONTECH;5478
MG;Carlos Chagas;BUTANTAN/SINOVAC;9036
MG;Carlos Chagas;FIOCRUZ/ASTRAZENECA;11350
MG;Carlos Chagas;JANSSEN (JOHNSON & JOHNSON);735
MG;Carlos Chagas;PFIZER/BIONTECH;14316
MG;Carmésia;BUTANTAN/SINOVAC;1399
MG;Carmésia;FIOCRUZ/ASTRAZENECA;1905
MG;Carmésia;JANSSEN (JOHNSON & JOHNSON);155
MG;Carmésia;PFIZER/BIONTECH;1806
MG;Carmo Da Cachoeira;BUTANTAN/SINOVAC;5351
MG;Carmo Da Cachoeira;FIOCRUZ/ASTRAZENECA;6750
MG;Carmo Da Cachoeira;JANSSEN (JOHNSON & JOHNSON);470
MG;Carmo Da Cachoeira;PFIZER/BIONTECH;9348
MG;Carmo Da Mata;BUTANTAN/SINOVAC;5602
MG;Carmo Da Mata;FIOCRUZ/ASTRAZENECA;6745
MG;Carmo Da Mata;JANSSEN (JOHNSON & JOHNSON);325
MG;Carmo Da Mata;PFIZER/BIONTECH;9336
MG;Carmo De Minas;BUTANTAN/SINOVAC;5148
MG;Carmo De Minas;FIOCRUZ/ASTRAZENECA;8420
MG;Carmo De Minas;JANSSEN (JOHNSON & JOHNSON);285
MG;Carmo De Minas;PFIZER/BIONTECH;9906
MG;Carmo Do Cajuru;BUTANTAN/SINOVAC;9170
MG;Carmo Do Cajuru;FIOCRUZ/ASTRAZENECA;13120
MG;Carmo Do Cajuru;JANSSEN (JOHNSON & JOHNSON);700
MG;Carmo Do Cajuru;PFIZER/BIONTECH;15690
MG;Carmo Do Paranaíba;BUTANTAN/SINOVAC;13190
MG;Carmo Do Paranaíba;FIOCRUZ/ASTRAZENECA;19840
MG;Carmo Do Paranaíba;JANSSEN (JOHNSON & JOHNSON);1940
MG;Carmo Do Paranaíba;PFIZER/BIONTECH;23508
MG;Carmo Do Rio Claro;BUTANTAN/SINOVAC;9562
MG;Carmo Do Rio Claro;FIOCRUZ/ASTRAZENECA;11215
MG;Carmo Do Rio Claro;JANSSEN (JOHNSON & JOHNSON);405
MG;Carmo Do Rio Claro;PFIZER/BIONTECH;14796
MG;Carmópolis De Minas;BUTANTAN/SINOVAC;7673
MG;Carmópolis De Minas;FIOCRUZ/ASTRAZENECA;12550
MG;Carmópolis De Minas;JANSSEN (JOHNSON & JOHNSON);685
MG;Carmópolis De Minas;PFIZER/BIONTECH;11982
MG;Carneirinho;BUTANTAN/SINOVAC;4099
MG;Carneirinho;FIOCRUZ/ASTRAZENECA;7860
MG;Carneirinho;JANSSEN (JOHNSON & JOHNSON);340
MG;Carneirinho;PFIZER/BIONTECH;7164
MG;Carrancas;BUTANTAN/SINOVAC;2080
MG;Carrancas;FIOCRUZ/ASTRAZENECA;2910
MG;Carrancas;JANSSEN (JOHNSON & JOHNSON);135
MG;Carrancas;PFIZER/BIONTECH;3054
MG;Carvalhópolis;BUTANTAN/SINOVAC;1503
MG;Carvalhópolis;FIOCRUZ/ASTRAZENECA;2305
MG;Carvalhópolis;JANSSEN (JOHNSON & JOHNSON);130
MG;Carvalhópolis;PFIZER/BIONTECH;2820
MG;Carvalhos;BUTANTAN/SINOVAC;2004
MG;Carvalhos;FIOCRUZ/ASTRAZENECA;3290
MG;Carvalhos;JANSSEN (JOHNSON & JOHNSON);105
MG;Carvalhos;PFIZER/BIONTECH;3462
MG;Casa Grande;BUTANTAN/SINOVAC;1284
MG;Casa Grande;FIOCRUZ/ASTRAZENECA;1230
MG;Casa Grande;JANSSEN (JOHNSON & JOHNSON);55
MG;Casa Grande;PFIZER/BIONTECH;1926
MG;Cascalho Rico;BUTANTAN/SINOVAC;1442
MG;Cascalho Rico;FIOCRUZ/ASTRAZENECA;2020
MG;Cascalho Rico;JANSSEN (JOHNSON & JOHNSON);110
MG;Cascalho Rico;PFIZER/BIONTECH;2304
MG;Cássia;BUTANTAN/SINOVAC;8531
MG;Cássia;FIOCRUZ/ASTRAZENECA;9820
MG;Cássia;JANSSEN (JOHNSON & JOHNSON);475
MG;Cássia;PFIZER/BIONTECH;12618
MG;Cataguases;BUTANTAN/SINOVAC;29155
MG;Cataguases;FIOCRUZ/ASTRAZENECA;42760
MG;Cataguases;JANSSEN (JOHNSON & JOHNSON);2830
MG;Cataguases;PFIZER/BIONTECH;52152
MG;Catas Altas;BUTANTAN/SINOVAC;2510
MG;Catas Altas;FIOCRUZ/ASTRAZENECA;3255
MG;Catas Altas;JANSSEN (JOHNSON & JOHNSON);230
MG;Catas Altas;PFIZER/BIONTECH;4332
MG;Catas Altas Da Noruega;BUTANTAN/SINOVAC;1724
MG;Catas Altas Da Noruega;FIOCRUZ/ASTRAZENECA;2095
MG;Catas Altas Da Noruega;JANSSEN (JOHNSON & JOHNSON);100
MG;Catas Altas Da Noruega;PFIZER/BIONTECH;2520
MG;Catuji;BUTANTAN/SINOVAC;1950
MG;Catuji;FIOCRUZ/ASTRAZENECA;4560
MG;Catuji;JANSSEN (JOHNSON & JOHNSON);225
MG;Catuji;PFIZER/BIONTECH;4038
MG;Catuti;BUTANTAN/SINOVAC;1838
MG;Catuti;FIOCRUZ/ASTRAZENECA;3285
MG;Catuti;JANSSEN (JOHNSON & JOHNSON);120
MG;Catuti;PFIZER/BIONTECH;3456
MG;Caxambu;BUTANTAN/SINOVAC;9360
MG;Caxambu;FIOCRUZ/ASTRAZENECA;14195
MG;Caxambu;JANSSEN (JOHNSON & JOHNSON);875
MG;Caxambu;PFIZER/BIONTECH;16218
MG;Cedro Do Abaeté;BUTANTAN/SINOVAC;637
MG;Cedro Do Abaeté;FIOCRUZ/ASTRAZENECA;1000
MG;Cedro Do Abaeté;JANSSEN (JOHNSON & JOHNSON);30
MG;Cedro Do Abaeté;PFIZER/BIONTECH;1188
MG;Central De Minas;BUTANTAN/SINOVAC;2595
MG;Central De Minas;FIOCRUZ/ASTRAZENECA;4300
MG;Central De Minas;JANSSEN (JOHNSON & JOHNSON);105
MG;Central De Minas;PFIZER/BIONTECH;4410
MG;Centralina;BUTANTAN/SINOVAC;3846
MG;Centralina;FIOCRUZ/ASTRAZENECA;5880
MG;Centralina;JANSSEN (JOHNSON & JOHNSON);305
MG;Centralina;PFIZER/BIONTECH;7518
MG;Chácara;BUTANTAN/SINOVAC;1449
MG;Chácara;FIOCRUZ/ASTRAZENECA;3145
MG;Chácara;JANSSEN (JOHNSON & JOHNSON);90
MG;Chácara;PFIZER/BIONTECH;2928
MG;Chalé;BUTANTAN/SINOVAC;2675
MG;Chalé;FIOCRUZ/ASTRAZENECA;3970
MG;Chalé;JANSSEN (JOHNSON & JOHNSON);175
MG;Chalé;PFIZER/BIONTECH;4218
MG;Chapada Do Norte;BUTANTAN/SINOVAC;2628
MG;Chapada Do Norte;FIOCRUZ/ASTRAZENECA;9180
MG;Chapada Do Norte;JANSSEN (JOHNSON & JOHNSON);275
MG;Chapada Do Norte;PFIZER/BIONTECH;6336
MG;Chapada Gaúcha;BUTANTAN/SINOVAC;4660
MG;Chapada Gaúcha;FIOCRUZ/ASTRAZENECA;6715
MG;Chapada Gaúcha;JANSSEN (JOHNSON & JOHNSON);290
MG;Chapada Gaúcha;PFIZER/BIONTECH;7620
MG;Chiador;BUTANTAN/SINOVAC;1406
MG;Chiador;FIOCRUZ/ASTRAZENECA;1750
MG;Chiador;JANSSEN (JOHNSON & JOHNSON);100
MG;Chiador;PFIZER/BIONTECH;1992
MG;Cipotânea;BUTANTAN/SINOVAC;2924
MG;Cipotânea;FIOCRUZ/ASTRAZENECA;3820
MG;Cipotânea;JANSSEN (JOHNSON & JOHNSON);170
MG;Cipotânea;PFIZER/BIONTECH;5136
MG;Claraval;BUTANTAN/SINOVAC;2213
MG;Claraval;FIOCRUZ/ASTRAZENECA;3020
MG;Claraval;JANSSEN (JOHNSON & JOHNSON);125
MG;Claraval;PFIZER/BIONTECH;3048
MG;Claro Dos Poções;BUTANTAN/SINOVAC;2997
MG;Claro Dos Poções;FIOCRUZ/ASTRAZENECA;5150
MG;Claro Dos Poções;JANSSEN (JOHNSON & JOHNSON);150
MG;Claro Dos Poções;PFIZER/BIONTECH;5376
MG;Cláudio;BUTANTAN/SINOVAC;13080
MG;Cláudio;FIOCRUZ/ASTRAZENECA;16140
MG;Cláudio;JANSSEN (JOHNSON & JOHNSON);1210
MG;Cláudio;PFIZER/BIONTECH;22710
MG;Coimbra;BUTANTAN/SINOVAC;3798
MG;Coimbra;FIOCRUZ/ASTRAZENECA;4060
MG;Coimbra;JANSSEN (JOHNSON & JOHNSON);185
MG;Coimbra;PFIZER/BIONTECH;6174
MG;Coluna;BUTANTAN/SINOVAC;3247
MG;Coluna;FIOCRUZ/ASTRAZENECA;5065
MG;Coluna;JANSSEN (JOHNSON & JOHNSON);170
MG;Coluna;PFIZER/BIONTECH;6054
MG;Comendador Gomes;BUTANTAN/SINOVAC;1411
MG;Comendador Gomes;FIOCRUZ/ASTRAZENECA;1905
MG;Comendador Gomes;JANSSEN (JOHNSON & JOHNSON);205
MG;Comendador Gomes;PFIZER/BIONTECH;2604
MG;Comercinho;BUTANTAN/SINOVAC;3306
MG;Comercinho;FIOCRUZ/ASTRAZENECA;4640
MG;Comercinho;JANSSEN (JOHNSON & JOHNSON);150
MG;Comercinho;PFIZER/BIONTECH;4710
MG;Conceição Da Aparecida;BUTANTAN/SINOVAC;5116
MG;Conceição Da Aparecida;FIOCRUZ/ASTRAZENECA;5290
MG;Conceição Da Aparecida;JANSSEN (JOHNSON & JOHNSON);155
MG;Conceição Da Aparecida;PFIZER/BIONTECH;7848
MG;Conceição Da Barra De Minas;BUTANTAN/SINOVAC;1811
MG;Conceição Da Barra De Minas;FIOCRUZ/ASTRAZENECA;2535
MG;Conceição Da Barra De Minas;JANSSEN (JOHNSON & JOHNSON);225
MG;Conceição Da Barra De Minas;PFIZER/BIONTECH;2940
MG;Conceição Das Alagoas;BUTANTAN/SINOVAC;9812
MG;Conceição Das Alagoas;FIOCRUZ/ASTRAZENECA;12600
MG;Conceição Das Alagoas;JANSSEN (JOHNSON & JOHNSON);690
MG;Conceição Das Alagoas;PFIZER/BIONTECH;19356
MG;Conceição Das Alagoas;-;42
MG;Conceição Das Pedras;BUTANTAN/SINOVAC;1414
MG;Conceição Das Pedras;FIOCRUZ/ASTRAZENECA;1600
MG;Conceição Das Pedras;JANSSEN (JOHNSON & JOHNSON);80
MG;Conceição Das Pedras;PFIZER/BIONTECH;2130
MG;Conceição De Ipanema;BUTANTAN/SINOVAC;2012
MG;Conceição De Ipanema;FIOCRUZ/ASTRAZENECA;2495
MG;Conceição De Ipanema;JANSSEN (JOHNSON & JOHNSON);110
MG;Conceição De Ipanema;PFIZER/BIONTECH;3480
MG;Conceição Do Mato Dentro;BUTANTAN/SINOVAC;10996
MG;Conceição Do Mato Dentro;FIOCRUZ/ASTRAZENECA;14920
MG;Conceição Do Mato Dentro;JANSSEN (JOHNSON & JOHNSON);920
MG;Conceição Do Mato Dentro;PFIZER/BIONTECH;15714
MG;Conceição Do Pará;BUTANTAN/SINOVAC;3130
MG;Conceição Do Pará;FIOCRUZ/ASTRAZENECA;3730
MG;Conceição Do Pará;JANSSEN (JOHNSON & JOHNSON);340
MG;Conceição Do Pará;PFIZER/BIONTECH;4962
MG;Conceição Do Rio Verde;BUTANTAN/SINOVAC;6038
MG;Conceição Do Rio Verde;FIOCRUZ/ASTRAZENECA;7820
MG;Conceição Do Rio Verde;JANSSEN (JOHNSON & JOHNSON);325
MG;Conceição Do Rio Verde;PFIZER/BIONTECH;10344
MG;Conceição Dos Ouros;BUTANTAN/SINOVAC;3944
MG;Conceição Dos Ouros;FIOCRUZ/ASTRAZENECA;8070
MG;Conceição Dos Ouros;JANSSEN (JOHNSON & JOHNSON);880
MG;Conceição Dos Ouros;PFIZER/BIONTECH;7860
MG;Cônego Marinho;BUTANTAN/SINOVAC;2872
MG;Cônego Marinho;FIOCRUZ/ASTRAZENECA;3880
MG;Cônego Marinho;JANSSEN (JOHNSON & JOHNSON);105
MG;Cônego Marinho;PFIZER/BIONTECH;4680
MG;Confins;BUTANTAN/SINOVAC;2174
MG;Confins;FIOCRUZ/ASTRAZENECA;13920
MG;Confins;JANSSEN (JOHNSON & JOHNSON);1140
MG;Confins;PFIZER/BIONTECH;5580
MG;Congonhal;BUTANTAN/SINOVAC;5772
MG;Congonhal;FIOCRUZ/ASTRAZENECA;6670
MG;Congonhal;JANSSEN (JOHNSON & JOHNSON);210
MG;Congonhal;PFIZER/BIONTECH;8544
MG;Congonhas;BUTANTAN/SINOVAC;26512
MG;Congonhas;FIOCRUZ/ASTRAZENECA;32615
MG;Congonhas;JANSSEN (JOHNSON & JOHNSON);2720
MG;Congonhas;PFIZER/BIONTECH;46476
MG;Congonhas Do Norte;BUTANTAN/SINOVAC;2616
MG;Congonhas Do Norte;FIOCRUZ/ASTRAZENECA;2770
MG;Congonhas Do Norte;JANSSEN (JOHNSON & JOHNSON);120
MG;Congonhas Do Norte;PFIZER/BIONTECH;4248
MG;Conquista;BUTANTAN/SINOVAC;3092
MG;Conquista;FIOCRUZ/ASTRAZENECA;5465
MG;Conquista;JANSSEN (JOHNSON & JOHNSON);330
MG;Conquista;PFIZER/BIONTECH;4584
MG;Conselheiro Lafaiete;BUTANTAN/SINOVAC;62558
MG;Conselheiro Lafaiete;FIOCRUZ/ASTRAZENECA;64920
MG;Conselheiro Lafaiete;JANSSEN (JOHNSON & JOHNSON);5060
MG;Conselheiro Lafaiete;PFIZER/BIONTECH;99798
MG;Conselheiro Pena;BUTANTAN/SINOVAC;7648
MG;Conselheiro Pena;FIOCRUZ/ASTRAZENECA;14495
MG;Conselheiro Pena;JANSSEN (JOHNSON & JOHNSON);1435
MG;Conselheiro Pena;PFIZER/BIONTECH;13062
MG;Consolação;BUTANTAN/SINOVAC;934
MG;Consolação;FIOCRUZ/ASTRAZENECA;1280
MG;Consolação;JANSSEN (JOHNSON & JOHNSON);45
MG;Consolação;PFIZER/BIONTECH;1332
MG;Contagem;BUTANTAN/SINOVAC;300428
MG;Contagem;FIOCRUZ/ASTRAZENECA;363990
MG;Contagem;JANSSEN (JOHNSON & JOHNSON);35865
MG;Contagem;PFIZER/BIONTECH;450552
MG;Coqueiral;BUTANTAN/SINOVAC;5174
MG;Coqueiral;FIOCRUZ/ASTRAZENECA;4940
MG;Coqueiral;JANSSEN (JOHNSON & JOHNSON);200
MG;Coqueiral;PFIZER/BIONTECH;7038
MG;Coração De Jesus;BUTANTAN/SINOVAC;9330
MG;Coração De Jesus;FIOCRUZ/ASTRAZENECA;15810
MG;Coração De Jesus;JANSSEN (JOHNSON & JOHNSON);1200
MG;Coração De Jesus;PFIZER/BIONTECH;16740
MG;Cordisburgo;BUTANTAN/SINOVAC;3574
MG;Cordisburgo;FIOCRUZ/ASTRAZENECA;5945
MG;Cordisburgo;JANSSEN (JOHNSON & JOHNSON);245
MG;Cordisburgo;PFIZER/BIONTECH;6168
MG;Cordislândia;BUTANTAN/SINOVAC;1602
MG;Cordislândia;FIOCRUZ/ASTRAZENECA;1790
MG;Cordislândia;JANSSEN (JOHNSON & JOHNSON);80
MG;Cordislândia;PFIZER/BIONTECH;2664
MG;Corinto;BUTANTAN/SINOVAC;9183
MG;Corinto;FIOCRUZ/ASTRAZENECA;13660
MG;Corinto;JANSSEN (JOHNSON & JOHNSON);925
MG;Corinto;PFIZER/BIONTECH;16122
MG;Coroaci;BUTANTAN/SINOVAC;3504
MG;Coroaci;FIOCRUZ/ASTRAZENECA;5555
MG;Coroaci;JANSSEN (JOHNSON & JOHNSON);285
MG;Coroaci;PFIZER/BIONTECH;7392
MG;Coromandel;BUTANTAN/SINOVAC;11680
MG;Coromandel;FIOCRUZ/ASTRAZENECA;17265
MG;Coromandel;JANSSEN (JOHNSON & JOHNSON);1275
MG;Coromandel;PFIZER/BIONTECH;26640
MG;Coronel Fabriciano;BUTANTAN/SINOVAC;63624
MG;Coronel Fabriciano;FIOCRUZ/ASTRAZENECA;51760
MG;Coronel Fabriciano;JANSSEN (JOHNSON & JOHNSON);5155
MG;Coronel Fabriciano;PFIZER/BIONTECH;68652
MG;Coronel Murta;BUTANTAN/SINOVAC;3338
MG;Coronel Murta;FIOCRUZ/ASTRAZENECA;4985
MG;Coronel Murta;JANSSEN (JOHNSON & JOHNSON);170
MG;Coronel Murta;PFIZER/BIONTECH;6516
MG;Coronel Pacheco;BUTANTAN/SINOVAC;1286
MG;Coronel Pacheco;FIOCRUZ/ASTRAZENECA;1970
MG;Coronel Pacheco;JANSSEN (JOHNSON & JOHNSON);110
MG;Coronel Pacheco;PFIZER/BIONTECH;2364
MG;Coronel Xavier Chaves;BUTANTAN/SINOVAC;1602
MG;Coronel Xavier Chaves;FIOCRUZ/ASTRAZENECA;2400
MG;Coronel Xavier Chaves;JANSSEN (JOHNSON & JOHNSON);120
