id_municipio,qtd_d2atrasada,qtd_d2atrasada_por_qtdd1
5200308,2237,0.10168644029274058
2609600,57963,0.23392173955155213
2507507,41580,0.061913142918405085
2910800,73638,0.17137152139409539
3204708,1903,0.07322892215338439
2111300,78517,0.088494587783403134
3302700,14344,0.1123724020149318
2310704,3275,0.6637616538305634
3115706,603,0.13137254901960785
3145000,521,0.0447479172034699
3302502,18079,0.0970694987328723
3513801,18964,0.05658294396008999
1502707,1668,0.060875912408759121
2203354,155,0.030108780108780108
3142700,1026,0.090556045895851728
1304203,7992,0.16344895287958114
3118304,7437,0.079251073624535123
3556404,3983,0.061448032212777115
3205101,7355,0.10625388249230724
5205497,8233,0.14883039878520554
2906006,29618,0.61451957590721418
2513208,250,0.046763935652824544
3509205,9906,0.15408306112925804
3528809,277,0.02507922136713445
4208203,19400,0.1074607685106713
2512507,1524,0.04376794945433659
2112704,5570,0.58111632759520082
1503408,473,0.061773540551129685
2922300,2173,0.099441698700347789
2800605,4355,0.19142857142857142
2807105,12835,0.52499181937172779
3301009,59849,0.15871656222403144
2610608,4116,0.097367113760556387
3149150,549,0.082880434782608689
2800308,27934,0.055085238757259347
3513405,3616,0.055260101473195183
2202208,3696,0.10203180212014135
5211503,6255,0.074350105195592486
2907509,8337,0.23065430903306128
2908705,398,0.027914153457707952
2503753,305,0.11006856730422231
4316808,4013,0.037023027529706987
2307254,191,0.05120643431635389
3548807,6221,0.046275151560233568
2501575,299,0.046291995664963614
3113008,4040,0.30108809062453423
1200203,7797,0.11767280410504075
2805703,8194,0.40892304621219683
2805802,925,0.065237322801325909
3548708,28359,0.043107235309049953
2508208,333,0.055881859372377919
4211900,13604,0.091127098321342928
2909901,5305,0.23065217391304349
2610905,6005,0.12071322317372252
4205704,1698,0.073605271143092468
2901908,3720,0.37462235649546827
1506195,1962,0.128419950255269
4300406,2899,0.048283672823570559
3509254,1226,0.04880184698670488
2307650,15082,0.093019526576126513
1507102,924,0.07947703423361431
2100303,3427,0.25753362891711129
2105658,152,0.049048080025814782
2903904,23882,0.55724852416174719
4127700,4711,0.039987098197991733
4314100,7585,0.045495441458733209
2902708,6130,0.17426654537184444
2801504,1935,0.19402386443397171
3523909,6370,0.043037051049914871
5106372,2860,0.20789416297157812
3537107,1403,0.036990165836167578
1200450,2652,0.174496644295302
4317103,2493,0.040739953916297617
2503001,1863,0.12924037460978147
3204252,360,0.061802575107296136
5208004,9201,0.10641546094861386
2901403,1498,0.14161467196067309
2103208,3734,0.075686632208371338
2101400,7962,0.11794157729454287
3301306,6602,0.18412025545918509
2924009,5850,0.069024105341403838
3146008,2616,0.10503071425703618
2925402,1078,0.1721219862685614
2515302,5261,0.13626709490261085
1500602,7880,0.10291908835629857
4110102,2343,0.0962217659137577
3538709,40750,0.12224938875305623
4100806,567,0.074098274960794561
