id_municipio,qtd_d2atrasada,qtd_d2atrasada_por_qtdd1
5006903,878,0.10531366198872497
2704302,99597,0.13096906880291193
3303807,16556,0.6017956453782124
2927408,188705,0.088331886919456745
3201308,28218,0.097797494238134025
2803500,22223,0.28695944113735261
3106705,18367,0.055234944740996918
3541505,2627,0.088504817734654
3162500,20616,0.279599641956221
1508209,12927,0.58601931184550526
2910602,8869,0.37535974267817845
2312908,9624,0.054877318629435547
2106706,2564,0.21501048218029351
3515004,23931,0.11491642136501366
2917706,4544,0.18901044049748347
1721000,31574,0.14520787343635025
3537404,1561,0.076463384766103357
2305803,4606,0.23158529840615416
3509502,78097,0.080853037488883575
2105351,1275,0.21200532091785834
3510609,71449,0.25232463280866496
3551009,37535,0.13543500851542881
3172004,3869,0.12081563827129653
3305505,25024,0.34918995855601914
5103403,39135,0.083060955938534686
2403251,15474,0.083804510300903357
2602407,717,0.091036058913153889
2611101,38847,0.14325911065546565
4207007,4104,0.10272326792150581
1600279,4925,0.17374585479432725
3519709,12074,0.18979502012072436
3115300,6972,0.13244429247164757
3171303,16724,0.25289198711648092
4304408,5934,0.083882276441152356
2608008,3025,0.26138425645899938
3141702,434,0.10279488394126006
3303708,20405,0.62151624988577869
4209102,33609,0.074454863857191272
1508126,2575,0.16413819479857217
1500107,22040,0.19448145631667652
3303906,26374,0.11544707617826142
2504009,77217,0.24400240156733868
4318705,13801,0.0782338569331149
2102200,2171,0.11569411137756462
1101500,1305,0.17076681496990317
3547809,60323,0.095420457115920912
2706505,946,0.10296038310840226
4204202,12099,0.064340982211704645
2205102,709,0.089103933643332911
2927507,2570,0.15721539120327888
3201506,8193,0.082830366079281792
2925303,17759,0.16487791291430692
5200258,23286,0.16251640099383044
4119509,8168,0.090514184397163119
5002704,60459,0.090673357549289263
3110004,4180,0.13484305945353076
2108256,2698,0.20383801752795405
3531803,7129,0.134733141820381
5221858,13484,0.11109280253097811
2924801,864,0.062068965517241378
3135803,1821,0.10777698863636363
1501709,17377,0.19175467055097603
3524303,5369,0.086961451247165533
4112009,2033,0.081430745814307454
2111763,2842,0.32022535211267605
2600054,9628,0.12683440916875247
3513009,24612,0.12610544653379105
3529302,6881,0.098920372047555383
4302105,15281,0.15875209075703586
1505536,35076,0.18728975555579286
2705101,2458,0.17806432917994783
5220454,13064,0.13593889825393851
2806800,1492,0.196419167983149
4208302,6091,0.11212355496649731
2927200,1936,0.085527478353065914
1705508,3622,0.16525230404233962
5105150,2752,0.082759450275163141
2207702,19039,0.16726700871520944
3133808,11951,0.16946725088980588
2609808,862,0.072865595942519013
4305355,1519,0.053934100269848032
1506708,3680,0.24011483753099308
3538006,16576,0.12648896960632444
5008305,9955,0.10186748529035559
3126505,487,0.077044771396930861
3300209,25351,0.23300551470588235
3516408,16595,0.13043512434369792
2511905,2778,0.23636518335744067
4310330,2431,0.11036956324343958
4320651,57,0.0286144578313253
4122404,3416,0.062878495039299057
3536703,3991,0.10863411181882519
5208608,7169,0.12263085870680808
2929305,6970,0.25695852534562214
1302900,4582,0.12841568341694459
3537008,1091,0.072482062184427321
2608404,2826,0.26048483731219468
2412005,7352,0.096846431488263038
3500709,3181,0.090379588589612453
2311264,1124,0.21096096096096095
4107207,2447,0.072454327421312886
3506508,8998,0.092297592548902949
4208104,800,0.048352976730129948
2306009,275,0.0758411472697187
1502202,14032,0.27793843837895654
2929107,3321,0.21253039805452451
3510401,3942,0.093714340053252188
2206670,569,0.11628857551604332
3306206,7141,0.25052624193095707
3201001,1053,0.086085676913015038
3139300,2161,0.15874531697641961
2913507,3614,0.343699476937708
5212709,538,0.093973799126637558
2400109,478,0.0633112582781457
5003801,1469,0.0880695443645084
3526209,3679,0.13991253089941053
2613909,7289,0.11626126485365659
3117876,817,0.078286699885013411
2701357,808,0.19692907628564466
3549102,6960,0.088966151958277936
2110708,4684,0.20788212320255636
3135605,668,0.11481608800275009
2100154,1508,0.16794743289898653
3136520,407,0.15113256591162272
2702009,830,0.11105164570511106
3116704,740,0.12137116614728555
3513108,3866,0.12915079842319771
3522307,11630,0.081910637818345733
3200805,2244,0.093224211707033364
2605202,8672,0.18649863437923397
2904209,2387,0.33600788288288286
2504504,256,0.046766532700036535
2922607,2669,0.37987475092513523
3539103,3242,0.21051948051948052
5004809,567,0.089235127478753534
2601201,7223,0.12993811614017414
2930303,1081,0.081529527113658642
2111201,28949,0.234608122016646
2802106,16563,0.36311220239400183
2918803,8981,0.62975948390715941
5205406,1380,0.078182539232904649
3156007,2316,0.27957508450024143
2928703,13879,0.17092575031712212
3540705,3572,0.079409541594415545
2409506,160,0.055632823365785816
2920601,3932,0.12446188908584452
2400802,1326,0.15075034106412005
3517901,518,0.060748211563269615
2926608,3241,0.076537961978982175
3169406,6538,0.14726551941616361
3137700,4221,0.29906475839591895
3521606,518,0.073768157220165193
3170404,7336,0.11692140955963215
1721208,2201,0.14457435627955859
5103205,4692,0.11007108170877612
3108602,5449,0.23262465846994534
4218004,6607,0.21196663458453641
5204706,1157,0.12081027461626814
1702901,1388,0.19905349204072853
5220686,801,0.15011244377811095
2925006,3766,0.22244536326048434
2904605,16558,0.30884300449517843
1101476,365,0.13414185961043734
3511102,7700,0.077497534169367333
2102077,657,0.094396551724137925
1508407,5611,0.21431572514418853
5219704,709,0.094219269102990028
2806008,1069,0.076834615108172216
2908606,2278,0.13091954022988506
4320107,1212,0.066784218646682825
2112803,5226,0.16320539645857407
2111789,1324,0.18107221006564553
3304128,2207,0.20136861313868612
3550605,10492,0.14424174101926066
4110706,2266,0.047311827956989246
3518404,8803,0.090536037518512427
2211506,223,0.075644504748982364
3145877,885,0.14299563742123123
3135076,840,0.26119402985074625
3506607,2884,0.11771909057512552
2707206,1204,0.13886966551326413
3511607,1174,0.075893722929730428
2918001,16662,0.13566304887680244
3107307,6946,0.20826337251139362
2104503,1870,0.29767589939509709
2406304,1301,0.16159483294000745
2803609,9914,0.52242187911682558
4205001,1105,0.092763599731363333
2914604,6110,0.10684806939003917
3162401,2964,0.16317093311312963
2106375,946,0.15808823529411764
2910057,4397,0.0860301310898063
3522109,13370,0.14275189784217213
3512308,1624,0.11680092059838895
2100956,3410,0.21157783706645159
2612208,5168,0.0993616857648235
4204806,3089,0.096745904976666977
3200409,1623,0.065057922796328216
4303004,4077,0.061561924319753568
3526704,7983,0.097952122111927747
3533007,745,0.045252991556824392
5105507,1423,0.12881325246673306
2211308,2268,0.08651205370765945
1504703,6019,0.1433470670889995
3525706,1691,0.056515490792420041
5215900,217,0.068067754077791726
4210100,5379,0.1215758068890697
4123956,205,0.077241899020346644
2604155,2921,0.30147590050572814
5007695,1710,0.07791852729426775
4118204,7907,0.064643508261321
3515103,5230,0.09900053002195805
2702603,2101,0.13177370797792273
2914901,3377,0.19943305970589972
2905800,6146,0.27683437682987255
2504306,1455,0.061883293637291593
1303536,3545,0.15886887156045532
2704005,5307,0.3461839530332681
2404507,2392,0.11696821515892421
1717008,614,0.21842760583422269
3134608,2145,0.14985329048484003
5213806,4361,0.11661986896643936
3117504,3506,0.18440014726765896
4106308,894,0.071042593769866491
2602100,4991,0.13879310344827586
2615508,1026,0.10089487658570165
2509206,856,0.081361087349111308
2104099,1391,0.12529274004683841
2903235,1039,0.097293754096825544
3117702,786,0.074291115311909267
2307601,772,0.066706990408709935
2301307,362,0.089404791306495437
5105622,2422,0.1252650633566072
1711902,1649,0.21771851069448112
4304200,1183,0.051035375323554788
2512309,711,0.043337803242716078
2414159,1212,0.26737260092653869
2409100,166,0.01870844133889327
2210201,441,0.087223101265822792
4315701,1558,0.053315994798439535
3161700,458,0.083944281524926681
3126109,4285,0.075188629584137565
4103206,199,0.037420082737871382
2903102,746,0.1999463950683463
2926301,2475,0.093396226415094333
1507409,1761,0.14572989076464746
3530706,6742,0.054903621423976152
5007901,3557,0.098540044879075819
4307906,2815,0.048988897010198047
2908200,1938,0.11630558722919042
2410256,206,0.08377389182594551
3170578,931,0.19164265129682997
2707008,310,0.1800232288037166
3152402,1625,0.14280692503734951
2301109,527,0.04825565424411684
2613602,2806,0.10854932301740812
4201950,1071,0.094502779493514516
