id_municipio,qtd_d2atrasada,qtd_d2atrasada_por_qtdd1
2102507,3151,0.29715201810637493
3113701,1769,0.11512430040348821
3303401,48570,0.33534480377806625
1100205,66651,0.18173018720791367
5201405,89391,0.21246390245641555
5201306,1614,0.1009886121887123
3168705,9153,0.14729405706377433
3170107,62863,0.24213559100065865
2919207,34776,0.21473161635309446
1303569,4535,0.2798000987166831
3135209,14992,0.32813149773468447
2901106,3875,0.22888363851151802
2102036,4415,0.44790504210205945
3135050,6668,0.25965732087227417
2303709,8521,0.1313833723942272
4128005,2332,0.11829757013138538
2611606,257941,0.18944964774870587
3148004,10838,0.084742052011822291
1600303,132733,0.39847195328800228
4207304,8848,0.21816209285696675
2402006,6284,0.12399368587213891
2107605,2188,0.16815247463879496
2933109,597,0.09328125
2601904,9893,0.20863385212366611
5211800,4716,0.13933699698634994
4101507,11954,0.12114271816127364
3304151,2826,0.14669089021541656
4205407,64242,0.14151841180047053
4306403,1121,0.046412453939469217
2604007,10212,0.17579920466869803
2305266,1741,0.53951038115897121
3171204,17012,0.20259133997046636
1100288,7605,0.17941821784981243
5218805,38202,0.23065219228865033
4120804,2111,0.11901674465805942
5201108,48259,0.16269528221102952
3106200,236041,0.11002524081320633
2701407,5340,0.20349834228878472
2102002,7024,0.40601156069364164
3152006,3717,0.15234230911102914
2506301,6666,0.14899085849668089
3530607,35949,0.10347715955211421
3157807,40451,0.26154114726115968
2104800,9853,0.24134130211139959
3552403,38586,0.16967442351327106
3540606,3754,0.080933080372542252
3523107,53965,0.19136931991460812
3136702,125255,0.31117708436847857
3122306,33996,0.19740440728159567
3529401,45984,0.13951286998944187
4124806,445,0.049384086116968151
3147105,9065,0.1205804889728378
4302808,1547,0.055989866087585959
3549805,40495,0.10141243645288121
2600708,5080,0.18618288436870076
2305233,2665,0.37535211267605634
2405801,4249,0.16257269666360574
1300706,4091,0.21372969019382476
3303203,21489,0.19850353332409587
2606002,12439,0.11991362440110669
2308708,6576,0.31914583838874061
1100452,3819,0.18612925236377814
3509700,4136,0.097214713832412744
3138203,20746,0.24811931159030295
2110906,1284,0.1549601737871108
3505708,31812,0.13822229753509652
2913606,49729,0.44837659702999755
5100250,5955,0.15545055863005117
2207009,2965,0.10256321560759625
2918308,3208,0.34299155351224209
2915205,4799,0.47903773208225192
3101102,2533,0.14058164058164058
2211001,68377,0.098148756866623513
2603454,42897,0.39181425426778588
4100400,15065,0.18442798555426332
2615607,4376,0.20121390472687142
2909802,17096,0.36790118143278316
1100114,5786,0.14665923147115481
2402402,684,0.11463046757164404
3133303,2688,0.17391304347826086
3524402,33709,0.1833615282937788
1100098,4367,0.19670285122291789
3541406,19950,0.098253597706923559
3544103,14688,0.4529977794226499
3512209,2614,0.097865967802321222
1301852,10729,0.2744130134533736
3509007,7912,0.10248571909690289
2913200,6452,0.33004245741470151
1600253,1578,0.44201680672268906
1600535,3216,0.29138352813264473
2915601,14662,0.453875681030213
3140001,3270,0.064783263333069177
1200401,55137,0.19529758468137559
5006606,7449,0.15254653805983903
2107209,1611,0.23698146513680493
1300102,2418,0.33370135247032845
2804409,2810,0.21006204679674068
2609907,8126,0.1701316918954002
2918407,65948,0.47051940639269407
3505500,9953,0.095735982993949767
3556503,12298,0.13293554280031564
3552502,69065,0.157909778905732
3522208,18547,0.14263302392469604
4216206,4676,0.0777570839430624
4112108,2238,0.12575859743762643
3105400,5040,0.20077281599808788
2602209,5109,0.1929599274842316
2708808,3701,0.148075538129151
3528403,8082,0.17699618939161665
4314407,32700,0.12066865936012398
1708205,3292,0.25829737151824245
2200103,567,0.13636363636363635
4111803,5143,0.15952233250620348
4203204,12645,0.19791829707309438
1507953,17421,0.46462194959327913
2929503,5486,0.18022931108117876
2929909,3117,0.086885017421602789
3547403,105,0.045691906005221931
2928802,8398,0.21713724273451235
4115705,6709,0.20375375831384579
2110401,3921,0.36426978818283168
1303502,2495,0.30859616573902288
2414407,4679,0.18604373757455267
1508308,14094,0.50541490353582441
2805505,4023,0.24167968280668028
3303609,12540,0.4049995155508187
2103703,4420,0.21255109401298389
2107506,19353,0.24854875166957774
4307708,4656,0.072295891431943107
4303905,4894,0.096168205934368242
3520301,2950,0.11883660973251692
4106605,3106,0.17060309787981984
5002407,2441,0.10876442543331996
1702109,25360,0.19646882916663438
3531100,17447,0.705756239634319
2928604,9402,0.21751301330248698
2930154,11292,0.54421899850595212
2911857,843,0.068408666720766051
1702208,4817,0.26358413132694941
2918506,2209,0.18431372549019609
2801702,4349,0.39450290275761973
3300100,27281,0.2007107017259899
2803005,5089,0.16535074893589369
3113206,5003,0.26039660646437307
3145307,6194,0.31552136926290053
3305208,23961,0.3365545333239694
3159605,1956,0.058811148861962176
5204300,1304,0.12004050446469668
2905107,2863,0.42133922001471669
3510807,3863,0.16146290491118076
2916807,2919,0.23918387413962636
2925808,3724,0.1977275140702984
3305000,5710,0.14977442031266394
2704500,6950,0.32800037755439143
3166204,1632,0.20872234301061518
3126208,1033,0.18135533707865167
2615409,6589,0.22867356146317763
3507803,2200,0.10802317588137091
1506138,17245,0.35753529741048662
2210508,3201,0.36096075778078485
4305975,108,0.044226044226044224
5104807,2843,0.13466275104206138
2516201,11741,0.23612340117448316
4303103,10393,0.10449426905288559
2202083,1384,0.24679029957203993
3521002,3059,0.11402266288951841
1502764,1275,0.24609148812970469
3161106,12510,0.35385964416032584
1502400,41428,0.31158946125439052
2106755,2283,0.20621443410712673
2511202,5275,0.25097535445808355
2503209,5857,0.11016646289852347
4311403,9319,0.13538564351401217
5107305,3188,0.25672411016266711
4320263,153,0.02773749093546048
2911907,4598,0.26689110749941952
5003306,3831,0.15314811113332
2501500,2998,0.17150048624220582
4316436,122,0.052790999567286889
4206702,1639,0.097891656214537423
2400703,1291,0.11754529727761086
3204302,1021,0.0909576837416481
2806206,3026,0.20345592684730721
4302352,1062,0.099812030075187963
3200904,4495,0.12716419599411566
2928000,8101,0.28288577714146035
2908903,3383,0.1790420746229161
1600808,2062,0.250638142700863
5200050,1383,0.17376554843573314
3134707,2277,0.27486721390632546
2911105,4076,0.21986083391768704
2106409,3046,0.30281340093448655
3557204,1075,0.10913705583756345
